,label,sentence
195,Account balance,money available
196,Account balance,I want to see money available
197,Account balance,I want to find money available
198,Account balance,what’s my money available
199,Account balance,what is my money available
200,Account balance,get money available
201,Account balance,please get money available
202,Account balance,tell me my money available
203,Account balance,show me money available
204,Account balance,display money available
205,Account balance,what’s my money available
206,Account balance,please get money available
207,Account balance,get money available
208,Account balance,how much can I spend
209,Account balance,I want to see how much can I spend
210,Account balance,I want to find how much can I spend
211,Account balance,what’s my how much can I spend
212,Account balance,what is my how much can I spend
213,Account balance,get how much can I spend
214,Account balance,please get how much can I spend
215,Account balance,tell me my how much can I spend
216,Account balance,show me how much can I spend
217,Account balance,display how much can I spend
218,Account balance,what’s my how much can I spend
219,Account balance,please get how much can I spend
220,Account balance,get how much can I spend
221,Account balance,what’s left in my account
222,Account balance,I want to see what’s left in my account
223,Account balance,I want to find what’s left in my account
224,Account balance,what’s my what’s left in my account
225,Account balance,what is my what’s left in my account
226,Account balance,get what’s left in my account
227,Account balance,please get what’s left in my account
228,Account balance,tell me my what’s left in my account
229,Account balance,show me what’s left in my account
230,Account balance,display what’s left in my account
231,Account balance,what’s my what’s left in my account
232,Account balance,please get what’s left in my account
233,Account balance,get what’s left in my account
234,Account balance,what do I have left today
235,Account balance,I want to see what do I have left today
236,Account balance,I want to find what do I have left today
237,Account balance,what’s my what do I have left today
238,Account balance,what is my what do I have left today
239,Account balance,get what do I have left today
240,Account balance,please get what do I have left today
241,Account balance,tell me my what do I have left today
242,Account balance,show me what do I have left today
243,Account balance,display what do I have left today
244,Account balance,what’s my what do I have left today
245,Account balance,please get what do I have left today
246,Account balance,get what do I have left today
247,Transaction history,Transaction history
248,Transaction history,I want to see my Transaction history
249,Transaction history,what are my Transaction history
250,Transaction history,what were the Transaction history
251,Transaction history,Last [number] transactions
252,Transaction history,I want to see my Last [number] transactions
253,Transaction history,what are my Last [number] transactions
254,Transaction history,what were the Last [number] transactions
255,Transaction history,History of account
256,Transaction history,I want to see my History of account
257,Transaction history,what are my History of account
258,Transaction history,what were the History of account
259,Transaction history,account transactions
260,Transaction history,I want to see my account transactions
261,Transaction history,what are my account transactions
262,Transaction history,what were the account transactions
263,Transaction history,acc trx
264,Transaction history,I want to see my acc trx
265,Transaction history,what are my acc trx
266,Transaction history,what were the acc trx
267,Transaction history,acc Trans
268,Transaction history,I want to see my acc Trans
269,Transaction history,what are my acc Trans
270,Transaction history,what were the acc Trans
271,Transaction history,Account trx
272,Transaction history,I want to see my Account trx
273,Transaction history,what are my Account trx
274,Transaction history,what were the Account trx
275,Transaction history,recent transactions
276,Transaction history,I want to see my recent transactions
277,Transaction history,what are my recent transactions
278,Transaction history,what were the recent transactions
279,Transaction history,transaction summary
280,Transaction history,I want to see my transaction summary
281,Transaction history,what are my transaction summary
282,Transaction history,what were the transaction summary
283,Transaction history,why do I have so few money
284,Transaction history,I want to see my why do I have so few money
285,Transaction history,what are my why do I have so few money
286,Transaction history,what were the why do I have so few money
287,Add Payee,Add beneficiary
288,Add Payee,I want to Add beneficiary
289,Add Payee,I need to Add beneficiary
290,Add Payee,help me to Add beneficiary
291,Add Payee,can I Add beneficiary
292,Add Payee,Add a Add beneficiary
293,Add Payee,create a Add beneficiary
294,Add Payee,set up a Add beneficiary
295,Add Payee,setup a Add beneficiary
296,Add Payee,new beneficiary
297,Add Payee,I want to new beneficiary
298,Add Payee,I need to new beneficiary
299,Add Payee,help me to new beneficiary
300,Add Payee,can I new beneficiary
301,Add Payee,Add a new beneficiary
302,Add Payee,create a new beneficiary
303,Add Payee,set up a new beneficiary
304,Add Payee,setup a new beneficiary
305,Add Payee,create beneficiary
306,Add Payee,I want to create beneficiary
307,Add Payee,I need to create beneficiary
308,Add Payee,help me to create beneficiary
309,Add Payee,can I create beneficiary
310,Add Payee,Add a create beneficiary
311,Add Payee,create a create beneficiary
312,Add Payee,set up a create beneficiary
313,Add Payee,setup a create beneficiary
314,Add Payee,add payee
315,Add Payee,I want to add payee
316,Add Payee,I need to add payee
317,Add Payee,help me to add payee
318,Add Payee,can I add payee
319,Add Payee,Add a add payee
320,Add Payee,create a add payee
321,Add Payee,set up a add payee
322,Add Payee,setup a add payee
323,Add Payee,add new payee
324,Add Payee,I want to add new payee
325,Add Payee,I need to add new payee
326,Add Payee,help me to add new payee
327,Add Payee,can I add new payee
328,Add Payee,Add a add new payee
329,Add Payee,create a add new payee
330,Add Payee,set up a add new payee
331,Add Payee,setup a add new payee
332,Add Payee,create new payee
333,Add Payee,I want to create new payee
334,Add Payee,I need to create new payee
335,Add Payee,help me to create new payee
336,Add Payee,can I create new payee
337,Add Payee,Add a create new payee
338,Add Payee,create a create new payee
339,Add Payee,set up a create new payee
340,Add Payee,setup a create new payee
341,Add Payee,pay someone new
342,Add Payee,I want to pay someone new
343,Add Payee,I need to pay someone new
344,Add Payee,help me to pay someone new
345,Add Payee,can I pay someone new
346,Add Payee,Add a pay someone new
347,Add Payee,create a pay someone new
348,Add Payee,set up a pay someone new
349,Add Payee,setup a pay someone new
351,Add Payee,I want to 
352,Add Payee,I need to 
353,Add Payee,help me to 
354,Add Payee,can I 
355,Add Payee,Add a 
356,Add Payee,create a 
357,Add Payee,set up a 
358,Add Payee,setup a 
359,Delete Payee,Remove Beneficiary
360,Delete Payee,I want to Remove Beneficiary
361,Delete Payee,I need to Remove Beneficiary
362,Delete Payee,help me to Remove Beneficiary
363,Delete Payee,can I Remove Beneficiary
364,Delete Payee, Remove Beneficiary
365,Delete Payee,delete Beneficiary
366,Delete Payee,I want to delete Beneficiary
367,Delete Payee,I need to delete Beneficiary
368,Delete Payee,help me to delete Beneficiary
369,Delete Payee,can I delete Beneficiary
370,Delete Payee, delete Beneficiary
371,Delete Payee,erase Beneficiary
372,Delete Payee,I want to erase Beneficiary
373,Delete Payee,I need to erase Beneficiary
374,Delete Payee,help me to erase Beneficiary
375,Delete Payee,can I erase Beneficiary
376,Delete Payee, erase Beneficiary
377,Delete Payee,Remove payee
378,Delete Payee,I want to Remove payee
379,Delete Payee,I need to Remove payee
380,Delete Payee,help me to Remove payee
381,Delete Payee,can I Remove payee
382,Delete Payee, Remove payee
383,Delete Payee,delete payee
384,Delete Payee,I want to delete payee
385,Delete Payee,I need to delete payee
386,Delete Payee,help me to delete payee
387,Delete Payee,can I delete payee
388,Delete Payee, delete payee
389,Delete Payee,erase payee
390,Delete Payee,I want to erase payee
391,Delete Payee,I need to erase payee
392,Delete Payee,help me to erase payee
393,Delete Payee,can I erase payee
394,Delete Payee, erase payee
395,Bill Payment,Pay bill
396,Bill Payment,I want to Pay bill
397,Bill Payment,help me to Pay bill
398,Bill Payment,can I Pay bill
399,Bill Payment,can you Pay bill
400,Bill Payment,I need to Pay bill
401,Bill Payment,bill payment
402,Bill Payment,I want to bill payment
403,Bill Payment,help me to bill payment
404,Bill Payment,can I bill payment
405,Bill Payment,can you bill payment
406,Bill Payment,I need to bill payment
407,Bill Payment,pay [name]
408,Bill Payment,I want to pay [name]
409,Bill Payment,help me to pay [name]
410,Bill Payment,can I pay [name]
411,Bill Payment,can you pay [name]
412,Bill Payment,I need to pay [name]
413,Bill Payment,pay a bill
414,Bill Payment,I want to pay a bill
415,Bill Payment,help me to pay a bill
416,Bill Payment,can I pay a bill
417,Bill Payment,can you pay a bill
418,Bill Payment,I need to pay a bill
419,Bill Payment,pay my [name] bill
420,Bill Payment,I want to pay my [name] bill
421,Bill Payment,help me to pay my [name] bill
422,Bill Payment,can I pay my [name] bill
423,Bill Payment,can you pay my [name] bill
424,Bill Payment,I need to pay my [name] bill
425,Bill Payment,bill
426,Bill Payment,I want to bill
427,Bill Payment,help me to bill
428,Bill Payment,can I bill
429,Bill Payment,can you bill
430,Bill Payment,I need to bill
431,Transfer own Account,Transfer between my accounts
432,Transfer own Account,I want to Transfer between my accounts
433,Transfer own Account,I need to Transfer between my accounts
434,Transfer own Account,help me to Transfer between my accounts
435,Transfer own Account,request Transfer between my accounts
436,Transfer own Account,can I Transfer between my accounts
437,Transfer own Account,I’d like to Transfer between my accounts
438,Transfer own Account,transfer from my [account] to my [account]
439,Transfer own Account,I want to transfer from my [account] to my [account]
440,Transfer own Account,I need to transfer from my [account] to my [account]
441,Transfer own Account,help me to transfer from my [account] to my [account]
442,Transfer own Account,request transfer from my [account] to my [account]
443,Transfer own Account,can I transfer from my [account] to my [account]
444,Transfer own Account,I’d like to transfer from my [account] to my [account]
445,Transfer own Account,move funds between my accounts
446,Transfer own Account,I want to move funds between my accounts
447,Transfer own Account,I need to move funds between my accounts
448,Transfer own Account,help me to move funds between my accounts
449,Transfer own Account,request move funds between my accounts
450,Transfer own Account,can I move funds between my accounts
451,Transfer own Account,I’d like to move funds between my accounts
452,Transfer own Account,move money between my accounts
453,Transfer own Account,I want to move money between my accounts
454,Transfer own Account,I need to move money between my accounts
455,Transfer own Account,help me to move money between my accounts
456,Transfer own Account,request move money between my accounts
457,Transfer own Account,can I move money between my accounts
458,Transfer own Account,I’d like to move money between my accounts
459,Transfer own Account,move from __ to __
460,Transfer own Account,I want to move from __ to __
461,Transfer own Account,I need to move from __ to __
462,Transfer own Account,help me to move from __ to __
463,Transfer own Account,request move from __ to __
464,Transfer own Account,can I move from __ to __
465,Transfer own Account,I’d like to move from __ to __
466,Transfer own Account,transfer
467,Transfer own Account,I want to transfer
468,Transfer own Account,I need to transfer
469,Transfer own Account,help me to transfer
470,Transfer own Account,request transfer
471,Transfer own Account,can I transfer
472,Transfer own Account,I’d like to transfer
473,Transfer own Account,make a transfer
474,Transfer own Account,I want to make a transfer
475,Transfer own Account,I need to make a transfer
476,Transfer own Account,help me to make a transfer
477,Transfer own Account,request make a transfer
478,Transfer own Account,can I make a transfer
479,Transfer own Account,I’d like to make a transfer
480,Transfer own Account,move money
481,Transfer own Account,I want to move money
482,Transfer own Account,I need to move money
483,Transfer own Account,help me to move money
484,Transfer own Account,request move money
485,Transfer own Account,can I move money
486,Transfer own Account,I’d like to move money
487,Transfer own Account,move my money
488,Transfer own Account,I want to move my money
489,Transfer own Account,I need to move my money
490,Transfer own Account,help me to move my money
491,Transfer own Account,request move my money
492,Transfer own Account,can I move my money
493,Transfer own Account,I’d like to move my money
494,Transfer own Account,transfer funds
495,Transfer own Account,I want to transfer funds
496,Transfer own Account,I need to transfer funds
497,Transfer own Account,help me to transfer funds
498,Transfer own Account,request transfer funds
499,Transfer own Account,can I transfer funds
500,Transfer own Account,I’d like to transfer funds
501,Transfer own Account,funds transfer
502,Transfer own Account,I want to funds transfer
503,Transfer own Account,I need to funds transfer
504,Transfer own Account,help me to funds transfer
505,Transfer own Account,request funds transfer
506,Transfer own Account,can I funds transfer
507,Transfer own Account,I’d like to funds transfer
508,Transfer own Account,money transfer
509,Transfer own Account,I want to money transfer
510,Transfer own Account,I need to money transfer
511,Transfer own Account,help me to money transfer
512,Transfer own Account,request money transfer
513,Transfer own Account,can I money transfer
514,Transfer own Account,I’d like to money transfer
515,Transfer own Account,transfer [amount] from my [account] to my [account]
516,Transfer own Account,I want to transfer [amount] from my [account] to my [account]
517,Transfer own Account,I need to transfer [amount] from my [account] to my [account]
518,Transfer own Account,help me to transfer [amount] from my [account] to my [account]
519,Transfer own Account,request transfer [amount] from my [account] to my [account]
520,Transfer own Account,can I transfer [amount] from my [account] to my [account]
521,Transfer own Account,I’d like to transfer [amount] from my [account] to my [account]
522,Transfer own Account,move some money
523,Transfer own Account,I want to move some money
524,Transfer own Account,I need to move some money
525,Transfer own Account,help me to move some money
526,Transfer own Account,request move some money
527,Transfer own Account,can I move some money
528,Transfer own Account,I’d like to move some money
529,Transfer own Account,move cash
530,Transfer own Account,I want to move cash
531,Transfer own Account,I need to move cash
532,Transfer own Account,help me to move cash
533,Transfer own Account,request move cash
534,Transfer own Account,can I move cash
535,Transfer own Account,I’d like to move cash
536,Transfer to 3rd party,Transfer to payee
537,Transfer to 3rd party,make Transfer to payee
538,Transfer to 3rd party,request Transfer to payee
539,Transfer to 3rd party,I want to Transfer to payee
540,Transfer to 3rd party,I need to Transfer to payee
541,Transfer to 3rd party,help me to Transfer to payee
542,Transfer to 3rd party,assist me with Transfer to payee
543,Transfer to 3rd party,can I Transfer to payee
544,Transfer to 3rd party,I’d like to Transfer to payee
545,Transfer to 3rd party,transfer money to payee
546,Transfer to 3rd party,make transfer money to payee
547,Transfer to 3rd party,request transfer money to payee
548,Transfer to 3rd party,I want to transfer money to payee
549,Transfer to 3rd party,I need to transfer money to payee
550,Transfer to 3rd party,help me to transfer money to payee
551,Transfer to 3rd party,assist me with transfer money to payee
552,Transfer to 3rd party,can I transfer money to payee
553,Transfer to 3rd party,I’d like to transfer money to payee
554,Transfer to 3rd party,transfer funds to payee
555,Transfer to 3rd party,make transfer funds to payee
556,Transfer to 3rd party,request transfer funds to payee
557,Transfer to 3rd party,I want to transfer funds to payee
558,Transfer to 3rd party,I need to transfer funds to payee
559,Transfer to 3rd party,help me to transfer funds to payee
560,Transfer to 3rd party,assist me with transfer funds to payee
561,Transfer to 3rd party,can I transfer funds to payee
562,Transfer to 3rd party,I’d like to transfer funds to payee
563,Transfer to 3rd party,transfer to another person
564,Transfer to 3rd party,make transfer to another person
565,Transfer to 3rd party,request transfer to another person
566,Transfer to 3rd party,I want to transfer to another person
567,Transfer to 3rd party,I need to transfer to another person
568,Transfer to 3rd party,help me to transfer to another person
569,Transfer to 3rd party,assist me with transfer to another person
570,Transfer to 3rd party,can I transfer to another person
571,Transfer to 3rd party,I’d like to transfer to another person
572,Transfer to 3rd party,transfer money to another person
573,Transfer to 3rd party,make transfer money to another person
574,Transfer to 3rd party,request transfer money to another person
575,Transfer to 3rd party,I want to transfer money to another person
576,Transfer to 3rd party,I need to transfer money to another person
577,Transfer to 3rd party,help me to transfer money to another person
578,Transfer to 3rd party,assist me with transfer money to another person
579,Transfer to 3rd party,can I transfer money to another person
580,Transfer to 3rd party,I’d like to transfer money to another person
581,Transfer to 3rd party,transfer funds to another person
582,Transfer to 3rd party,make transfer funds to another person
583,Transfer to 3rd party,request transfer funds to another person
584,Transfer to 3rd party,I want to transfer funds to another person
585,Transfer to 3rd party,I need to transfer funds to another person
586,Transfer to 3rd party,help me to transfer funds to another person
587,Transfer to 3rd party,assist me with transfer funds to another person
588,Transfer to 3rd party,can I transfer funds to another person
589,Transfer to 3rd party,I’d like to transfer funds to another person
590,Transfer to 3rd party,send money to payee
591,Transfer to 3rd party,make send money to payee
592,Transfer to 3rd party,request send money to payee
593,Transfer to 3rd party,I want to send money to payee
594,Transfer to 3rd party,I need to send money to payee
595,Transfer to 3rd party,help me to send money to payee
596,Transfer to 3rd party,assist me with send money to payee
597,Transfer to 3rd party,can I send money to payee
598,Transfer to 3rd party,I’d like to send money to payee
599,Transfer to 3rd party,send funds to another person
600,Transfer to 3rd party,make send funds to another person
601,Transfer to 3rd party,request send funds to another person
602,Transfer to 3rd party,I want to send funds to another person
603,Transfer to 3rd party,I need to send funds to another person
604,Transfer to 3rd party,help me to send funds to another person
605,Transfer to 3rd party,assist me with send funds to another person
606,Transfer to 3rd party,can I send funds to another person
607,Transfer to 3rd party,I’d like to send funds to another person
608,Transfer to 3rd party,send money
609,Transfer to 3rd party,make send money
610,Transfer to 3rd party,request send money
611,Transfer to 3rd party,I want to send money
612,Transfer to 3rd party,I need to send money
613,Transfer to 3rd party,help me to send money
614,Transfer to 3rd party,assist me with send money
615,Transfer to 3rd party,can I send money
616,Transfer to 3rd party,I’d like to send money
617,Transfer to 3rd party,send funds
618,Transfer to 3rd party,make send funds
619,Transfer to 3rd party,request send funds
620,Transfer to 3rd party,I want to send funds
621,Transfer to 3rd party,I need to send funds
622,Transfer to 3rd party,help me to send funds
623,Transfer to 3rd party,assist me with send funds
624,Transfer to 3rd party,can I send funds
625,Transfer to 3rd party,I’d like to send funds
626,Transfer to 3rd party,funds transfer
627,Transfer to 3rd party,make funds transfer
628,Transfer to 3rd party,request funds transfer
629,Transfer to 3rd party,I want to funds transfer
630,Transfer to 3rd party,I need to funds transfer
631,Transfer to 3rd party,help me to funds transfer
632,Transfer to 3rd party,assist me with funds transfer
633,Transfer to 3rd party,can I funds transfer
634,Transfer to 3rd party,I’d like to funds transfer
635,Transfer to 3rd party,make a payment to [name]
636,Transfer to 3rd party,make make a payment to [name]
637,Transfer to 3rd party,request make a payment to [name]
638,Transfer to 3rd party,I want to make a payment to [name]
639,Transfer to 3rd party,I need to make a payment to [name]
640,Transfer to 3rd party,help me to make a payment to [name]
641,Transfer to 3rd party,assist me with make a payment to [name]
642,Transfer to 3rd party,can I make a payment to [name]
643,Transfer to 3rd party,I’d like to make a payment to [name]
644,Transfer to 3rd party,pay [name]
645,Transfer to 3rd party,make pay [name]
646,Transfer to 3rd party,request pay [name]
647,Transfer to 3rd party,I want to pay [name]
648,Transfer to 3rd party,I need to pay [name]
649,Transfer to 3rd party,help me to pay [name]
650,Transfer to 3rd party,assist me with pay [name]
651,Transfer to 3rd party,can I pay [name]
652,Transfer to 3rd party,I’d like to pay [name]
653,Transfer to 3rd party,send money to [name]
654,Transfer to 3rd party,make send money to [name]
655,Transfer to 3rd party,request send money to [name]
656,Transfer to 3rd party,I want to send money to [name]
657,Transfer to 3rd party,I need to send money to [name]
658,Transfer to 3rd party,help me to send money to [name]
659,Transfer to 3rd party,assist me with send money to [name]
660,Transfer to 3rd party,can I send money to [name]
661,Transfer to 3rd party,I’d like to send money to [name]
662,Transfer to 3rd party,pay someone else
663,Transfer to 3rd party,make pay someone else
664,Transfer to 3rd party,request pay someone else
665,Transfer to 3rd party,I want to pay someone else
666,Transfer to 3rd party,I need to pay someone else
667,Transfer to 3rd party,help me to pay someone else
668,Transfer to 3rd party,assist me with pay someone else
669,Transfer to 3rd party,can I pay someone else
670,Transfer to 3rd party,I’d like to pay someone else
671,Transfer to 3rd party,transfer funds
672,Transfer to 3rd party,make transfer funds
673,Transfer to 3rd party,request transfer funds
674,Transfer to 3rd party,I want to transfer funds
675,Transfer to 3rd party,I need to transfer funds
676,Transfer to 3rd party,help me to transfer funds
677,Transfer to 3rd party,assist me with transfer funds
678,Transfer to 3rd party,can I transfer funds
679,Transfer to 3rd party,I’d like to transfer funds
680,Transfer to 3rd party,send a bank transfer
681,Transfer to 3rd party,make send a bank transfer
682,Transfer to 3rd party,request send a bank transfer
683,Transfer to 3rd party,I want to send a bank transfer
684,Transfer to 3rd party,I need to send a bank transfer
685,Transfer to 3rd party,help me to send a bank transfer
686,Transfer to 3rd party,assist me with send a bank transfer
687,Transfer to 3rd party,can I send a bank transfer
688,Transfer to 3rd party,I’d like to send a bank transfer
689,Transfer to 3rd party,create a bank transfer
690,Transfer to 3rd party,make create a bank transfer
691,Transfer to 3rd party,request create a bank transfer
692,Transfer to 3rd party,I want to create a bank transfer
693,Transfer to 3rd party,I need to create a bank transfer
694,Transfer to 3rd party,help me to create a bank transfer
695,Transfer to 3rd party,assist me with create a bank transfer
696,Transfer to 3rd party,can I create a bank transfer
697,Transfer to 3rd party,I’d like to create a bank transfer
698,Req to call back,Call me back
699,Req to call back,I want to Call me back
700,Req to call back,ask the bank to Call me back
701,Req to call back,I want the bank to Call me back
702,Req to call back,ask a bank clerk to Call me back
703,Req to call back,I need to Call me back
704,Req to call back,can I get a Call me back
705,Req to call back,can someone Call me back
706,Req to call back,can I Call me back
707,Req to call back,can you Call me back
708,Req to call back,call me
709,Req to call back,I want to call me
710,Req to call back,ask the bank to call me
711,Req to call back,I want the bank to call me
712,Req to call back,ask a bank clerk to call me
713,Req to call back,I need to call me
714,Req to call back,can I get a call me
715,Req to call back,can someone call me
716,Req to call back,can I call me
717,Req to call back,can you call me
718,Req to call back,contact me
719,Req to call back,I want to contact me
720,Req to call back,ask the bank to contact me
721,Req to call back,I want the bank to contact me
722,Req to call back,ask a bank clerk to contact me
723,Req to call back,I need to contact me
724,Req to call back,can I get a contact me
725,Req to call back,can someone contact me
726,Req to call back,can I contact me
727,Req to call back,can you contact me
728,Req to call back,get in touch with me
729,Req to call back,I want to get in touch with me
730,Req to call back,ask the bank to get in touch with me
731,Req to call back,I want the bank to get in touch with me
732,Req to call back,ask a bank clerk to get in touch with me
733,Req to call back,I need to get in touch with me
734,Req to call back,can I get a get in touch with me
735,Req to call back,can someone get in touch with me
736,Req to call back,can I get in touch with me
737,Req to call back,can you get in touch with me
738,Req to call back,phone me
739,Req to call back,I want to phone me
740,Req to call back,ask the bank to phone me
741,Req to call back,I want the bank to phone me
742,Req to call back,ask a bank clerk to phone me
743,Req to call back,I need to phone me
744,Req to call back,can I get a phone me
745,Req to call back,can someone phone me
746,Req to call back,can I phone me
747,Req to call back,can you phone me
748,Req to call back,give me a call
749,Req to call back,I want to give me a call
750,Req to call back,ask the bank to give me a call
751,Req to call back,I want the bank to give me a call
752,Req to call back,ask a bank clerk to give me a call
753,Req to call back,I need to give me a call
754,Req to call back,can I get a give me a call
755,Req to call back,can someone give me a call
756,Req to call back,can I give me a call
757,Req to call back,can you give me a call
758,Req to call back,call back callback
759,Req to call back,I want to call back callback
760,Req to call back,ask the bank to call back callback
761,Req to call back,I want the bank to call back callback
762,Req to call back,ask a bank clerk to call back callback
763,Req to call back,I need to call back callback
764,Req to call back,can I get a call back callback
765,Req to call back,can someone call back callback
766,Req to call back,can I call back callback
767,Req to call back,can you call back callback
768,Req for Human Agent,Speak with an agent
769,Req for Human Agent,I want to Speak with an agent
770,Req for Human Agent,I need to Speak with an agent
771,Req for Human Agent,I have to Speak with an agent
772,Req for Human Agent,I request to Speak with an agent
773,Req for Human Agent,can I Speak with an agent
774,Req for Human Agent,put me through Speak with an agent
775,Req for Human Agent,talk to an agent
776,Req for Human Agent,I want to talk to an agent
777,Req for Human Agent,I need to talk to an agent
778,Req for Human Agent,I have to talk to an agent
779,Req for Human Agent,I request to talk to an agent
780,Req for Human Agent,can I talk to an agent
781,Req for Human Agent,put me through talk to an agent
782,Req for Human Agent,transfer to an agent
